Beta,Date,,,,,,,,,,,
1.38E-06,,,,,,,,,,,,
1.97E-06,,,,,,,,,,,,
2.78E-06,,,,,,,,,,,,
3.62E-06,,,,,,,,,,,,
4.35E-06,,,,,,,,,,,,
5.51E-06,,,,,,,,,,,,
6.32E-06,,,,,,,,,,,,
7.11E-06,,,,,,,,,,,,
9.28E-06,,,,,,,,,,,,
1.31E-05,,,,,,,,,,,,
1.92E-05,,,,,,,,,,,,
2.64E-05,,,,,,,,,,,,
3.34E-05,,,,,,,,,,,,
3.88E-05,,,,,,,,,,,,
4.53E-05,,,,,,,,,,,,
5.44E-05,,,,,,,,,,,,
6.57E-05,,,,,,,,,,,,
8.06E-05,,,,,,,,,,,,
9.63E-05,,,,,,,,,,,,
0.000114794,,,,,,,,,,,,
0.000132696,,,,,,,,,,,,
0.000153148,,,,,,,,,,,,
0.000187762,,,,,,,,,,,,
0.000222864,,,,,,,,,,,,
0.000262907,,,,,,,,,,,,
0.000308996,,,,,,,,,,,,
0.000356887,,,,,,,,,,,,
0.000398798,,,,,,,,,,,,
0.000441434,,,,,,,,,,,,
0.000505234,,,,,,,,,,,,
0.000572094,,,,,,,,,,,,
0.000645454,,,,,,,,,,,,
0.00071816,,,,,,,,,,,,
0.000791643,,,,,,,,,,,,
0.00085174,,,,,,,,,,,,
0.000905601,,,,,,,,,,,,
0.000984057,,,,,,,,,,,,
0.001065034,,,,,,,,,,,,
0.001141256,,,,,,,,,,,,
0.001213695,,,,,,,,,,,,
0.001278183,,,,,,,,,,,,
0.001331544,,,,,,,,,,,,
0.001383817,,,,,,,,,,,,
0.001445935,,,,,,,,,,,,
0.001510173,,,,,,,,,,,,
0.001585531,,,,,,,,,,,,
0.001664493,,,,,,,,,,,,
0.001738249,,,,,,,,,,,,
0.00180826,,,,,,,,,,,,
0.00186533,,,,,,,,,,,,
0.001937281,,,,,,,,,,,,
0.002007898,,,,,,,,,,,,
0.002089322,,,,,,,,,,,,
0.002165774,,,,,,,,,,,,
0.00223947,,,,,,,,,,,,
0.002295168,,,,,,,,,,,,
0.002346565,,,,,,,,,,,,
0.002416188,,,,,,,,,,,,
0.002486161,,,,,,,,,,,,
0.002566849,,,,,,,,,,,,
0.002640353,,,,,,,,,,,,
0.002710402,,,,,,,,,,,,
0.002758242,,,,,,,,,,,,
0.002802339,,,,,,,,,,,,
0.002852455,,,,,,,,,,,,
0.00290711,,,,,,,,,,,,
0.002963948,,,,,,,,,,,,
0.00301983,,,,,,,,,,,,
0.003065062,,,,,,,,,,,,
0.003096928,,,,,,,,,,,,
0.003131346,,,,,,,,,,,,
0.003184548,,,,,,,,,,,,
0.00323488,,,,,,,,,,,,
0.003283809,,,,,,,,,,,,
0.003322628,,,,,,,,,,,,
0.003360013,,,,,,,,,,,,
0.003390741,,,,,,,,,,,,
0.003417822,,,,,,,,,,,,
0.003456045,,,,,,,,,,,,
0.003501405,,,,,,,,,,,,
0.003541636,,,,,,,,,,,,
0.003579526,,,,,,,,,,,,
0.003609808,,,,,,,,,,,,
0.003632183,,,,,,,,,,,,
0.003652288,,,,,,,,,,,,
0.003676223,,,,,,,,,,,,
0.003700842,,,,,,,,,,,,
0.003727688,,,,,,,,,,,,
0.003753452,,,,,,,,,,,,
0.003775833,,,,,,,,,,,,
0.003792263,,,,,,,,,,,,
0.003808145,,,,,,,,,,,,
0.003829579,,,,,,,,,,,,
0.003851399,,,,,,,,,,,,
0.003871425,,,,,,,,,,,,
0.003889803,,,,,,,,,,,,
0.003906282,,,,,,,,,,,,
